annotation_id,source_id,line_number,tag,keyword,value
1,1,1,begin,@begin,custom_hello_world
2,1,1,desc,@desc,Display one or more greetings to the user.
3,1,2,in,@in,provided_greeting
4,1,3,out,@out,displayed_greeting
5,1,3,desc,@desc,Greeting displayed to user.
6,1,5,begin,@begin,accept_greeting
7,1,5,desc,@desc,Receive message to be displayed to the user as a greeting.
8,1,6,in,@in,greeting
9,1,6,as,@as,provided_greeting
10,1,7,out,@out,greeting
11,1,7,as,@as,custom_greeting
12,1,9,end,@end,accept_greeting
13,1,11,begin,@begin,greet_user
14,1,11,desc,@desc,Greet the program user with the given message.
15,1,12,in,@in,greeting
16,1,12,as,@as,custom_greeting
17,1,13,out,@out,greeting
18,1,13,as,@as,displayed_greeting
19,1,13,file,@file,stream:stdout
20,1,15,end,@end,greet_user
21,1,17,end,@end,custom_hello_world
