annotation_id,source_id,line_number,tag,keyword,value
1,1,1,begin,@begin,EmphasizedHelloWorld
2,1,1,desc,@desc,Display one or more greetings to the user.
3,1,2,in,@in,provided_greeting
4,1,3,out,@out,displayed_greeting
5,1,3,desc,@desc,Greeting displayed to user.
6,1,7,begin,@begin,emphasize_greeting
7,1,7,desc,@desc,Add emphasis to the provided greeting
8,1,8,in,@in,provided_greeting
9,1,9,out,@out,greeting
10,1,9,as,@as,modified_greeting
11,1,11,end,@end,emphasize_greeting
12,1,13,begin,@begin,print_greeting
13,1,13,desc,@desc,Greet the user with the emphasized message.
14,1,14,in,@in,greeting
15,1,14,as,@as,modified_greeting
16,1,15,out,@out,greeting
17,1,15,as,@as,displayed_greeting
18,1,15,file,@file,stream:stdout
19,1,17,end,@end,print_greeting
20,1,19,end,@end,EmphasizedHelloWorld
