annotation_id,source_id,line_number,tag,keyword,value
1,1,1,begin,@begin,EmphasizedHelloWorld
2,1,1,desc,@desc,Display one or more greetings to the user.
3,1,2,in,@in,provided_greeting
4,1,3,in,@in,provided_emphasis
5,1,4,param,@param,emphasis_count
6,1,5,out,@out,displayed_greeting
7,1,5,desc,@desc,Greeting displayed to user.
8,1,9,begin,@begin,emphasize_greeting
9,1,9,desc,@desc,Add emphasis to the provided greeting
10,1,10,in,@in,greeting
11,1,10,as,@as,provided_greeting
12,1,11,in,@in,emphasis
13,1,11,as,@as,provided_emphasis
14,1,12,param,@param,count
15,1,12,as,@as,emphasis_count
16,1,13,out,@out,greeting
17,1,13,as,@as,emphasized_greeting
18,1,17,end,@end,emphasize_greeting
19,1,19,begin,@begin,print_greeting
20,1,19,desc,@desc,Greet the user with the emphasized message.
21,1,20,in,@in,greeting
22,1,20,as,@as,emphasized_greeting
23,1,21,out,@out,greeting
24,1,21,as,@as,displayed_greeting
25,1,21,file,@file,stream:stdout
26,1,23,end,@end,print_greeting
27,1,25,end,@end,EmphasizedHelloWorld
