port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
1,in,provided_greeting,EmphasizedHelloWorld<-provided_greeting,3,1
2,in,provided_emphasis,EmphasizedHelloWorld<-provided_emphasis,4,2
3,param,emphasis_count,EmphasizedHelloWorld<-emphasis_count,5,3
4,out,displayed_greeting,EmphasizedHelloWorld->displayed_greeting,6,4
5,in,greeting,EmphasizedHelloWorld.emphasize_greeting<-greeting,10,5
6,in,emphasis,EmphasizedHelloWorld.emphasize_greeting<-emphasis,12,6
7,param,count,EmphasizedHelloWorld.emphasize_greeting<-count,14,7
8,out,greeting,EmphasizedHelloWorld.emphasize_greeting->greeting,16,8
9,in,greeting,EmphasizedHelloWorld.print_greeting<-greeting,21,8
10,out,greeting,EmphasizedHelloWorld.print_greeting->greeting,23,9
