annotation_id,source_id,line_number,tag,keyword,value
1,1,3,begin,@begin,greetings_from_file
2,1,3,desc,@desc,Compose and display custom greetings defined in a file.
3,1,4,param,@param,input_file_path
4,1,5,param,@param,input_file
5,1,6,out,@out,displayed_greeting
6,1,6,desc,@desc,Greeting displayed to user.
7,1,10,begin,@begin,read_greeting_definitions
8,1,10,desc,@desc,Read the greeting definitions from the file
9,1,11,in,@in,input_file_path
10,1,11,as,@as,input_file
11,1,12,out,@out,greeting
12,1,12,as,@as,provided_greeting
13,1,13,out,@out,emphasis
14,1,13,as,@as,provided_emphasis
15,1,14,out,@out,count
16,1,14,as,@as,emphasis_count
17,1,25,end,@end,read_greeting_definitions
18,1,27,begin,@begin,emphasize_greeting
19,1,27,desc,@desc,Add emphasis to the provided greeting
20,1,28,in,@in,greeting
21,1,28,as,@as,provided_greeting
22,1,29,in,@in,emphasis
23,1,29,as,@as,provided_emphasis
24,1,30,param,@param,count
25,1,30,as,@as,emphasis_count
26,1,31,out,@out,greeting
27,1,31,as,@as,emphasized_greeting
28,1,33,end,@end,emphasize_greeting
29,1,35,begin,@begin,print_greeting
30,1,35,desc,@desc,Greet the user with the emphasized message.
31,1,36,in,@in,greeting
32,1,36,as,@as,emphasized_greeting
33,1,37,out,@out,greeting
34,1,37,as,@as,displayed_greeting
35,1,37,file,@file,stream:stdout
36,1,39,end,@end,print_greeting
37,1,41,end,@end,greetings_from_file
