port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
1,param,input_file_path,greetings_from_file<-input_file_path,3,1
2,param,input_file,greetings_from_file<-input_file,4,2
3,out,displayed_greeting,greetings_from_file->displayed_greeting,5,3
4,in,input_file_path,greetings_from_file.read_greeting_definitions<-input_file_path,9,4
5,out,greeting,greetings_from_file.read_greeting_definitions->greeting,11,5
6,out,emphasis,greetings_from_file.read_greeting_definitions->emphasis,13,6
7,out,count,greetings_from_file.read_greeting_definitions->count,15,7
8,in,greeting,greetings_from_file.emphasize_greeting<-greeting,20,5
9,in,emphasis,greetings_from_file.emphasize_greeting<-emphasis,22,6
10,param,count,greetings_from_file.emphasize_greeting<-count,24,7
11,out,greeting,greetings_from_file.emphasize_greeting->greeting,26,8
12,in,greeting,greetings_from_file.print_greeting<-greeting,31,8
13,out,greeting,greetings_from_file.print_greeting->greeting,33,9
